latitude,longitude
37.77514982,-122.4196432
37.7756301,-122.4201095
37.7760229,-122.4205449
37.77636236,-122.4206855
37.77652477,-122.4209429
37.77668717,-122.4214392
37.7768104,-122.4218986
37.77725687,-122.4221332
37.77759732,-122.4226312
37.77798055,-122.4230669
37.77808878,-122.4233474
37.77857674,-122.4235706
37.77900972,-122.4238098
37.77919466,-122.4242201
37.77936739,-122.4244353
37.77954075,-122.4248404
37.77976245,-122.4252102
37.78007235,-122.4254116
37.78034513,-122.4256517
37.78056162,-122.4258121
37.78090636,-122.426049
37.78106216,-122.4263217
37.78127901,-122.4267842
37.78152556,-122.4271371
37.78180799,-122.4275311
37.78222206,-122.4279335
37.78240193,-122.4280443
37.78270762,-122.428387
37.78304459,-122.4285302
37.78316317,-122.4287777
37.78350619,-122.4289598
37.78367439,-122.4292588
37.78380042,-122.429528
37.78427997,-122.429831
37.78476622,-122.4302529
37.78518958,-122.4304639
37.78541143,-122.4308516
37.7855505,-122.4313419
37.78592419,-122.4315837
37.78620025,-122.4320128
37.78634907,-122.4321367
37.78664714,-122.4322551
37.78676089,-122.4323891
37.78722462,-122.4327411
37.78742813,-122.4332349
37.78779314,-122.4333636
37.78801782,-122.4336923
37.78832585,-122.4338056
37.78864454,-122.4339202
37.78881848,-122.434079
37.78930631,-122.4344612
37.78971637,-122.4348072
37.79019216,-122.4349667
37.7906501,-122.4353399
37.79098926,-122.4357721
37.79145801,-122.4360494
37.7915934,-122.436175
37.7917718,-122.4363965
37.79188989,-122.4366685
37.79212002,-122.4371297
37.79237549,-122.4373836
37.79258403,-122.4374876
37.79301552,-122.4379316
37.79325823,-122.4382243
37.7934706,-122.4383733
37.79378768,-122.438577
37.79394405,-122.4387982
37.79436493,-122.4390172
37.79449475,-122.4393734
37.7949895,-122.439756
37.7953984,-122.4399322
37.79557789,-122.4401082
37.79568009,-122.4402614
37.79610628,-122.4403961
37.79648902,-122.4406915
37.79688062,-122.4409909
37.79728913,-122.4411716
37.79741875,-122.4414116
37.79766214,-122.4416308
37.79780848,-122.4418125
37.79825373,-122.4419565
37.79860305,-122.4423213
37.7988354,-122.4426711
37.79896083,-122.4431335
37.79918522,-122.4434022
37.79941529,-122.4438878
37.79980714,-122.4442016
37.80016216,-122.4444845
37.80061704,-122.4448699
37.80090593,-122.4451335
37.80105377,-122.4456213
37.80143907,-122.4461064
37.80184338,-122.4462774
37.80216789,-122.4466333
37.80257628,-122.4470825
37.8028738,-122.4473736
37.80318289,-122.4475656
37.80345391,-122.4479792
37.80356407,-122.4482301
37.80370723,-122.4486959
37.8038198,-122.4491753
37.80417437,-122.4494627
37.80440011,-122.4497465
37.80470354,-122.4499915
37.80516656,-122.4502011
37.80536628,-122.4503107
37.80563043,-122.4506042
37.80603265,-122.450975
37.80622417,-122.451157
37.80635496,-122.4515486
37.80657087,-122.451873
37.80673535,-122.4523416
37.80720723,-122.4528315
37.80763048,-122.4529464
37.80798384,-122.4531121
37.80843243,-122.4533337
37.8088539,-122.4536701
37.80902852,-122.4541008
37.80948555,-122.4545382
37.80980128,-122.4549381
37.81022426,-122.4552184
37.8106827,-122.4554326
37.8109099,-122.4556685
37.81105392,-122.4560565
37.81124509,-122.4561746
37.81151594,-122.4563794
37.81194314,-122.4566577
37.81238743,-122.456913
37.81249021,-122.4572451
37.81279451,-122.457646
37.81306148,-122.4580037
37.81325032,-122.4582005
37.81339827,-122.4586948
37.81363331,-122.4591483
37.81411048,-122.4596299
37.81433976,-122.4601136
37.81464727,-122.4602715
37.81502848,-122.46049
37.81527393,-122.4608003
37.81576265,-122.4612612
37.81624763,-122.4615645
37.81644834,-122.4618752
37.81674724,-122.4623059
37.81696759,-122.4626323
37.81718153,-122.4629729
37.81729628,-122.4632266
37.81764011,-122.4634726
37.81794118,-122.4639544
37.81806177,-122.4643046
37.81827323,-122.4645542
37.81873653,-122.464853
37.81893236,-122.4650104
37.81909032,-122.4652469
37.8193861,-122.4656817
37.81988036,-122.4661535
37.82007718,-122.4663965
37.82044603,-122.4668859
37.82085068,-122.4671516
37.82104574,-122.4672755
37.82143702,-122.4675453
37.82168414,-122.4678901
37.82203706,-122.4681328
37.82239047,-122.4684495
37.82270478,-122.4687312
37.8228409,-122.4688546
37.82327502,-122.4692002
37.82350333,-122.4693157
37.82367794,-122.4694536
37.82379425,-122.4698753
37.82413061,-122.4703475
37.82450163,-122.4708072
37.82460827,-122.4712999
37.8249131,-122.4717621
37.8251037,-122.4719889
37.82546177,-122.4724605
37.82563152,-122.4728329
37.82600789,-122.4729949
37.82626259,-122.4734856
37.82673728,-122.4736598
37.82689229,-122.4740471
37.82712871,-122.4744998
37.8272741,-122.4747211
37.82774398,-122.4749695
37.82819492,-122.4751186
37.82839809,-122.4753245
37.82876209,-122.4755031
37.82918898,-122.4758903
37.82951106,-122.4763193
37.82982292,-122.4765191
37.83001966,-122.4766964
37.8301569,-122.4768002
37.83061578,-122.4771351
37.83107595,-122.4774863
37.83142919,-122.4776757
37.8316648,-122.4780394
37.83190449,-122.4781671
37.83229487,-122.4783238
37.83275371,-122.4786522
37.83320855,-122.4788518
37.8336205,-122.47905
